id,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion
332,alexis sanchez,DEL,25,67,barcelona,2014,CHI
333,arturo vidal,DEF,23,23,bayer leverkusen,2010,CHI
333,arturo vidal,CEN,27,54,juventus,2014,CHI
334,carlos carmona,MED,23,20,reggina,2010,CHI
334,carlos carmona,CEN,27,45,atalanta,2014,CHI
335,charles aranguiz,CEN,25,21,internacional,2014,CHI
336,claudio bravo,POR,27,43,real sociedad,2010,CHI
336,claudio bravo,POR,31,79,real sociedad,2014,CHI
337,cristopher toselli,POR,25,4,universidad catolica,2014,CHI
338,eduardo vargas,DEL,24,30,valencia,2014,CHI
339,esteban paredes,DEL,29,14,colo-colo,2010,CHI
339,esteban paredes,DEL,33,35,colo-colo,2014,CHI
340,eugenio mena,DEF,25,25,santos,2014,CHI
341,fabian orellana,DEL,24,16,xerez cd,2010,CHI
341,fabian orellana,DEL,28,26,celta de vigo,2014,CHI
342,felipe gutierrez,CEN,23,18,twente,2014,CHI
343,francisco silva,CEN,28,12,osasuna,2014,CHI
344,gary medel,DEF,22,24,boca juniors,2010,CHI
344,gary medel,DEF,26,61,cardiff city,2014,CHI
345,gonzalo fierro,DEL,27,18,flamengo,2010,CHI
346,gonzalo jara,DEF,24,34,west bromwich albion,2010,CHI
346,gonzalo jara,DEF,28,65,nottingham forest,2014,CHI
347,humberto suazo,DEL,29,42,real zaragoza,2010,CHI
348,ismael fuentes,DEF,28,29,universidad catolica,2010,CHI
349,jean beausejour,MED,26,27,america de mexico,2010,CHI
349,jean beausejour,CEN,30,60,wigan athletic,2014,CHI
350,johnny herrera,POR,33,8,universidad de chile,2014,CHI
351,jorge valdivia,MED,26,39,al ain,2010,CHI
351,jorge valdivia,CEN,30,57,palmeiras,2014,CHI
352,jose pedro fuenzalida,CEN,29,23,colo-colo,2014,CHI
353,jose rojas,DEF,30,19,universidad de chile,2014,CHI
354,luis marin,POR,27,3,union española,2010,CHI
355,marcelo bielsa,DT,,,,2010,CHI
355,marcelo bielsa,DT,,,,2014,CHI
356,marcelo diaz,CEN,27,21,basel,2014,CHI
357,marco estrada,MED,27,22,universidad de chile,2010,CHI
358,mark gonzalez,DEL,25,39,cska moscu,2010,CHI
359,matias fernandez,MED,24,37,sporting lisboa,2010,CHI
360,mauricio isla,DEF,21,12,udinese,2010,CHI
360,mauricio isla,DEF,26,47,juventus,2014,CHI
361,mauricio pinilla,DEL,30,26,cagliari,2014,CHI
362,miguel pinto,POR,26,14,universidad de chile,2010,CHI
363,miiko albornoz,DEF,23,2,malmo,2014,CHI
364,pablo contreras,DEF,31,51,paok salonica fc,2010,CHI
365,rodrigo millar,MED,28,21,colo-colo,2010,CHI
366,rodrigo tello,MED,30,34,besiktas jk,2010,CHI
367,waldo ponce,DEF,27,25,universidad catolica,2010,CHI
368,abel aguilar,MED,29,49,toulouse,2014,COL
368,abel aguilar,CEN,33,70,deportivo cali,2018,COL
369,adrian ramos,DEL,28,26,hertha berlin,2014,COL
370,alexander mejia,MED,25,8,atletico nacional,2014,COL
371,camilo vargas,POR,25,0,santa fe,2014,COL
371,camilo vargas,POR,29,5,deportivo cali,2018,COL
372,camilo zuñiga,DEF,28,50,napoli,2014,COL
373,carlos bacca,DEL,27,11,sevilla,2014,COL
373,carlos bacca,DEL,31,44,villarreal,2018,COL
374,carlos carbonero,MED,23,1,river plate,2014,COL
375,carlos sanchez,MED,28,44,elche,2014,COL
